MJ文字図形名	対応するUCS(参考)	総画数	読み(参考)
MJ028183	U+9819	14	サク・シャク・セイ・ショウ・ただしい
MJ028191	U+9820	15	ガイ・ゲ・ギ
MJ028196	U+9824	16	イ・おとがい
MJ028202	U+9829	17	ヘイ・ヒョウ・ビョウ・ホウ
MJ028212	U+9832	16	テイ・チョウ・まっすぐ
MJ028213	U+9832	16	テイ・チョウ・まっすぐ・ただしい
MJ028233	U+9844	17	カン・ゴン・ガン
MJ028245	U+984E	18	ガク・あご
MJ028259	U+985B	19	テン
MJ028272	U+9867	21	コ・ク・かえりみる
MJ028283	U+9870	26	ヒン・しかめる・ひそめる
MJ028287	U+9873	27	ショウ
MJ028288	U+9873	27	ショウ
MJ028290	U+9874	27	カン・ケン・ゲン
MJ028309	U+98B6	17	グ・ク
MJ028318	U+98BE	19	シュ・シュウ・ソウ
MJ028339	U+98DF	9	ショク・ジキ・くう・くらう・たべる
MJ028342	U+98E2	11	キ・ギ・うえる
MJ028344	U+98E2	11	アク
MJ028345	U+98E3	10	テイ・チョウ・たくわえる
MJ028347	U+98E4	10	シ・かう・やしなう
MJ028350	U+98E6	11	セン・カン・かゆ
MJ028352	U+98E6	12	セン・かゆ
MJ028354	U+98E9	12	ドン・トン・チュン
MJ028356	U+98EA	12	ジン・ニン・にる
MJ028358	U+98EB	12	ヨ・オ・あきる
MJ028361	U+98ED	12	チョク・いましめる・ただす
MJ028370	U+98F4	14	イ・シ・ジ・あめ
MJ028371	U+98F5	13	サク・ザク・くらう
MJ028373	U+98F6	13	ヒツ・ヘツ・ベツ
MJ028379	U+98FB	13	テツ・テン・むさぼる
MJ028383	U+98FD	14	ホウ・ヒョウ・キ・ケ・あきる・あかす
MJ028384	U+98FD	13	ホウ・ケ・ヒョウ・キ・あきる・あかす
MJ028386	U+98FE	14	ショク・シキ・チョク・チキ・かざる
MJ028389	U+9901	14	ジン・ニン・にる
MJ028391	U+9902	14	テン・とる・さぐりとる・あまい
MJ028393	U+9903	14	コウ・キョウ・あめ
MJ028395	U+9903	15	コウ・キョウ
MJ028397	U+9905	14	ヘイ・もち
MJ028403	U+9909	14	ショウ・ショク・かれいい
MJ028406	U+990A	15	ヨウ・やしなう・やしない
MJ028408	U+990C	15	ジ・ニ・え・えさ・もち
MJ028409	U+990C	14	ジ・ニ・え・えさ
MJ028410	U+990C	14	ジ・え・えさ
MJ028412	U+990C	15	ジ・え・えさ
MJ028413	U+990C	14	ジ・え・えさ
MJ028415	U+9910	16	サン・ソン・たべもの・くう
MJ028416	U+9911	15	ホツ
MJ028418	U+9912	15	ダイ・うえる・かつえる
MJ028420	U+9912	15	ダイ・うえる
MJ028422	U+9913	16	ガ・うえる
MJ028423	U+9914	15	ホ・フ・くう・ゆうめし
MJ028425	U+9915	15	シュン・セン・くいのこり
MJ028427	U+9915	16	シュン・セン・くいのこり
MJ028428	U+9916	15	トウ・つらねる
MJ028430	U+9917	15	ソク・サク
MJ028432	U+9918	15	ヨ・あまる・あます
MJ028434	U+991A	16	コウ・くらう・さかな・そなえる
MJ028436	U+991B	16	コン・ゴン
MJ028438	U+991C	16	カ・もち
MJ028440	U+991D	15	ショク・かざる
MJ028442	U+991D	17	ショク・チョク・かざる
MJ028443	U+991E	16	セン・はなむけ
MJ028445	U+991F	16	テイ・テツ・まつる
MJ028447	U+9920	16	ヘイ・ひょう・もち
MJ028449	U+9921	16	アン・カン・あん・あんこ
MJ028452	U+9922	16	ホウ・こなもち
MJ028454	U+9923	16	ヨウ・もち・こなもち
MJ028456	U+9924	16	タン・ダン・エン・すすめる・くう
MJ028459	U+9926	16	チョウ・もち・あめ
MJ028461	U+9927	16	イ・ダイ・かう・くわせる
MJ028463	U+9927	16	イ・ダイ・ネ・うえる・くわせる
MJ028465	U+9929	16	オク・むせぶ
MJ028467	U+9929	17	オク
MJ028468	U+992A	17	ダン・ナン
MJ028470	U+992B	17	ウン・コン
MJ028472	U+992C	17	コ・かゆ
MJ028474	U+992D	17	コウ・オウ・かたあめ
MJ028477	U+992E	18	テツ
MJ028479	U+9930	17	セン・ケン・かゆ
MJ028481	U+9931	17	コウ・ほしいい
MJ028483	U+9932	17	アイ・イ・アツ・カツ・エイ・すえる
MJ028485	U+9933	17	トウ・あめ
MJ028488	U+9934	17	フン・むす・むしめし
MJ028489	U+9934	18	フン
MJ028491	U+9936	18	コツ
MJ028493	U+9939	18	トウ・あめ
MJ028495	U+9939	19	トウ・あめ
MJ028496	U+993A	18	ハク
MJ028498	U+993B	18	コウ・こなもち・むしもち
MJ028500	U+993C	18	キ・あく・いけにえ・おくる・おくりもの
MJ028502	U+993D	18	キ・おくる・まつる
MJ028504	U+993E	18	リュウ・むす・むれる
MJ028506	U+993F	18	シュウ
MJ028508	U+9940	18	トウ・こなもち・むさぼる
MJ028514	U+9941	18	ヨウ・コウ・おくる
MJ028516	U+9942	17	ウン
MJ028517	U+9942	18	ウン・うん
MJ028518	U+9942	18	ウン
MJ028520	U+9944	19	トウ・あめ
MJ028522	U+9945	19	マン・バン
MJ028523	U+9945	20	マン・バン
MJ028526	U+9946	19	ヒツ
MJ028528	U+9946	20	ヒツ
MJ028529	U+9947	19	ウ・オウ・ヨ・オ・あく・あきる
MJ028531	U+9947	20	ヨ・ウ・オウ・オ
MJ028532	U+9948	19	シュウ・すすめる・そなえる
MJ028534	U+9949	19	キン・うえる
MJ028536	U+9949	18	キン
MJ028537	U+994A	20	サン・いりごめ・おこし
MJ028539	U+994B	20	キ・タイ・おくる
MJ028541	U+994C	20	セン・サン・ハン・そなえる
MJ028543	U+994C	20	セン・そなえる
MJ028544	U+994D	20	ゼン・セン・そなえもの
MJ028546	U+994E	20	シ・キ
MJ028549	U+9950	20	イ・エツ・イツ・すえる・むせぶ
MJ028551	U+9951	20	キ・うえる
MJ028553	U+9951	21	キ・ケ・うえる
MJ028554	U+9951	21	キ・うえる
MJ028555	U+9952	20	ジョウ・ニョウ・ゆたか
MJ028561	U+9955	22	トウ・むさぼる
MJ028562	U+9956	21	ワイ・エ・すえる
MJ028564	U+9957	20	キョウ・コウ・あえ・うける・もてなす
MJ028565	U+9957	20	キョウ・コウ・あえ・うける・もてなす
MJ028566	U+9957	22	キョウ・コウ・あえ・うける・もてなす
MJ028568	U+9957	22	キョウ・あえ・うける・もてなす
MJ028569	U+9957	22	キョウ・あえ・うける・もてなす
MJ028570	U+9957	22	キョウ・あえ・うける・もてなす
MJ028571	U+9958	21	セン・かゆ
MJ028573	U+9959	20	フン・むす・むしめし
MJ028575	U+9959	22	フン
MJ028578	U+995B	21	モウ・モ
MJ028579	U+995B	23	モウ・ボウ・モ
MJ028580	U+995B	20	モ・モウ
MJ028581	U+995C	23	エン・あく・あきる
MJ028583	U+995C	22	エン・あきる
MJ028584	U+995D	24	マ・バ・もち
MJ028586	U+995E	25	サン・ザン・むさぼる
MJ028589	U+995F	25	ジョウ・ショウ・おくる
MJ028590	U+9960	27	ラ・もち
MJ028592	U+9961	27	サン・しるかけめし
MJ028614	U+99A7	19	ウン・オツ・オチ
MJ028624	U+99B0	13	テキ・チャク・こま
MJ028631	U+99B7	14	ハイ
MJ028636	U+99BA	14	ソウ
MJ028639	U+99BC	14	ブン
MJ028645	U+99C1	14	バク
MJ028660	U+99D0	15	チュウ・とどまる
MJ028672	U+99DB	15	シ・はせる・はやい
MJ028693	U+99ED	16	ガイ・カイ・おどろかす・おどろく
MJ028695	U+99EE	16	ハク・まだら
MJ028706	U+99F8	17	シン
MJ028713	U+99FF	17	シュン
MJ028737	U+9A15	19	ヨウ
MJ028741	U+9A19	19	ヘン・かたる
MJ028749	U+9A1E	19	カク・キャク・バク・ミャク・テキ・チャク
MJ028768	U+9A2F	20	ホウ・ボウ
MJ028769	U+9A30	20	トウ・ドウ・のぼる
MJ028787	U+9A40	21	バク・ミャク・バ・メ
MJ028789	U+9A41	21	ゴウ・おごる・あなどる・おおきい
MJ028793	U+9A44	21	ソウ・あしげ
MJ028801	U+9A4A	21	カ・ゲ
MJ028806	U+9A4E	23	リン・まだらうま
MJ028813	U+9A54	22	タン・テン
MJ028816	U+9A56	23	テツ
MJ028817	U+9A56	23	テツ・くろくりげ
MJ028820	U+9A58	23	ラ・らば
MJ028824	U+9A5A	23	キョウ・ケイ・おどろく・おどろかす
MJ028826	U+9A5B	23	エキ・ヤク・うまや
MJ028831	U+9A5F	24	シュウ・ズ・ジュ・ソウ・にわか・はしる・はせる
MJ028838	U+9A65	27	キ
MJ028843	U+9A69	28	カン・よろこぶ
MJ028865	U+9AB8	16	ガイ・カイ・むくろ
MJ028872	U+9ABE	17	コウ
MJ028873	U+9ABF	16	ヘン・ベン
MJ028883	U+9AC8	20	ホウ
MJ028892	U+9AD2	23	ソウ
MJ028894	U+9AD3	22	スイ・ズイ
MJ028897	U+9AD6	23	カン・コン・こしぼね
MJ028899	U+9AD6	25	カン・コン・こしぼね
MJ028927	U+9AEF	15	ゼン・ひげ
MJ028930	U+9AF1	15	たぼ
MJ028952	U+9B06	18	ショウ・ソウ
MJ028964	U+9B12	20	シン
MJ028969	U+9B18	21	マン・バン・かつら
MJ028974	U+9B1B	22	リョウ・たてがみ
MJ028981	U+9B23	25	リョウ・ヨウ・たてがみ
MJ028994	U+9B2D	24	トウ・ツ・たたかう
MJ028995	U+9B2D	24	トウ・たたかう
MJ028997	U+9B2E	26	くじ
MJ028998	U+9B2E	27	くじ
MJ028999	U+9B2E	28	くじ
MJ029000	U+9B2E	26	ク・キュウ・コウ・くじ
MJ029030	U+9B4D	18	モウ
MJ029033	U+9B4F	18	ギ・たかい
MJ029036	U+9B51	21	チ・すだま
MJ029039	U+9B54	21	マ・バ
MJ029074	U+9B75	14	えび
MJ029091	U+9B83	16	ヒョウ・ひらめ
MJ029103	U+9B8E	15	デン・ネン・あゆ・あい
MJ029109	U+9B91	16	ホウ・あわび
MJ029112	U+9B92	15	ふな
MJ029120	U+9B97	16	このしろ
MJ029129	U+9BA0	17	ガイ・はや
MJ029142	U+9BAB	17	コウ・さめ
MJ029143	U+9BAB	16	コウ・さめ
MJ029145	U+9BAC	17	ホ・ブ・コ・ク・ヒ
MJ029153	U+9BB1	16	ボラ・おおぼら・ぼら
MJ029154	U+9BB1	16	おおぼら・ぼら
MJ029162	U+9BB9	18	ショウ・たこ
MJ029166	U+9BBC	18	シン
MJ029172	U+9BC1	18	コウ・かたい・ただしい・なおい・わずらい
MJ029181	U+9BC9	17	リ・こい
MJ029186	U+9BCE	17	うぐい
MJ029192	U+9BD4	20	シ・ぼら
MJ029194	U+9BD6	19	セイ・エイ・ショウ・ヨウ・さば
MJ029201	U+9BDB	19	チョウ・たい
MJ029203	U+9BDB	18	チョウ・たい
MJ029210	U+9BE1	19	ヒ・にしん
MJ029218	U+9BE8	18	ゲイ・くじら
MJ029222	U+9BEB	19	シュ・ソウ・いやしい・ざこ・ひらきうお
MJ029227	U+9BF0	18	ネン・なまず
MJ029230	U+9BF1	19	コ・しゃち・しゃちほこ
MJ029233	U+9BF2	19	どじょう
MJ029237	U+9BF5	18	ソウ・あじ
MJ029246	U+9BFD	20	セキ・ショク・ソク・ふな
MJ029250	U+9C00	20	カン・あめのうお
MJ029256	U+9C04	20	イ
MJ029264	U+9C0B	20	エン・オン
MJ029266	U+9C0C	20	シュウ・ショウ・シュ・どじょう
MJ029267	U+9C0C	20	シュウ・どじょう
MJ029271	U+9C10	19	ガク・わに
MJ029273	U+9C10	20	ガク・わに
MJ029283	U+9C19	20	はや・わかさぎ
MJ029291	U+9C1F	21	ホウ
MJ029294	U+9C21	21	リュウ
MJ029295	U+9C22	20	バ・とど
MJ029301	U+9C26	21	シ
MJ029303	U+9C27	21	トウ・ドウ・チン・ジン・おこぜ
MJ029310	U+9C2D	20	キ・ギ・ひれ
MJ029313	U+9C2F	21	いわし
MJ029315	U+9C30	20	はたはた・いな
MJ029317	U+9C31	21	レン・たなご
MJ029326	U+9C39	21	ケン・かつお
MJ029328	U+9C3A	21	ソウ・あじ
MJ029330	U+9C3B	22	バン・マン・うなぎ
MJ029338	U+9C41	21	チク
MJ029340	U+9C41	22	チク
MJ029347	U+9C48	22	セツ・たら
MJ029356	U+9C4F	23	ジン・シン・イン・かじき・えい
MJ029359	U+9C52	22	ソン・ゾン・セン・ゼン・テン・デン・ます
MJ029361	U+9C52	23	ソン・ゾン・セン・ゼン・テン・デン・ます
MJ029366	U+9C57	23	リン・うろこ
MJ029368	U+9C57	24	リン・うろこ
MJ029376	U+9C5D	24	フン・ブン・えい
MJ029401	U+9C74	26	ベツ・メチ
MJ029404	U+9C76	26	ふか
MJ029405	U+9C76	26	ふか
MJ029412	U+9CE6	12	イツ・イチ・アツ・エチ・つばめ
MJ029437	U+9CFD	17	ケン・ゲン・ガク・ギャク・コウ・セン・キョウ
MJ029448	U+9D07	15	ホウ・とき
MJ029450	U+9D08	15	ガン・ゲン・かり
MJ029451	U+9D09	15	ア・ガ・ゲ・からす
MJ029453	U+9D09	16	ア・からす
MJ029487	U+9D2A	16	イツ
MJ029492	U+9D2E	17	オ・ウ・コ・ク
MJ029514	U+9D43	17	チョウ
MJ029519	U+9D47	17	とき
MJ029521	U+9D48	17	みさご・とび
MJ029535	U+9D55	18	シュン
MJ029547	U+9D60	18	コク・ゴク・カク・コウ・ゴウ・くぐい・まと
MJ029554	U+9D65	18	かけす・かしどり
MJ029562	U+9D6C	19	ホウ・フウ・フ・おおとり
MJ029568	U+9D70	19	チョウ・わし・くまたか
MJ029581	U+9D7C	19	コウ・ク・ぬえ
MJ029590	U+9D84	19	セイ・ショウ・ごいさぎ
MJ029605	U+9D93	20	ビョウ・ミョウ
MJ029637	U+9DB2	21	オウ・ひたき
MJ029638	U+9DB2	21	オウ・ひたき
MJ029644	U+9DB7	21	ゲチ・カツ・ガチ・つぐみ
MJ029646	U+9DB8	21	ひわ
MJ029648	U+9DB9	21	リュウ・ル
MJ029654	U+9DBF	20	ジ・シ
MJ029656	U+9DBF	21	ジ・シ
MJ029657	U+9DBF	21	シ・ジ
MJ029658	U+9DC0	20	ジ
MJ029659	U+9DC0	21	ジ
MJ029660	U+9DC0	21	ジ
MJ029664	U+9DC1	21	ゲキ
MJ029665	U+9DC1	21	ゲキ
MJ029669	U+9DC4	21	ケイ・にわとり
MJ029676	U+9DCA	21	ゲキ・ギャク
MJ029689	U+9DD6	22	エイ・かもめ
MJ029691	U+9DD7	22	オウ・オ・ク・イウ・ウ・かもめ
MJ029704	U+9DE3	23	イン・ヨウ
MJ029733	U+9DFE	24	イ
MJ029760	U+9E17	27	リョウ・リュ・ロウ・ル
MJ029765	U+9E1B	29	カン・ガン・ゲン・ケン・こうのとり
MJ029780	U+9E80	13	ユウ・ユ・めじか
MJ029782	U+9E81	13	ソ・あらい
MJ029794	U+9E8C	18	ゴ・おじか
MJ029796	U+9E8E	18	シン・ジン・シ・ジ
MJ029807	U+9E97	19	レイ・うるわしい
MJ029815	U+9E9E	22	ショウ・ソウ・くじか・のろ
MJ029816	U+9E9F	23	リン
MJ029818	U+9E9F	23	リン
MJ029829	U+9EA8	15	ショウ
MJ029831	U+9EA9	15	フ・ふすま
MJ029832	U+9EAA	15	ベン・メン・むぎこ
MJ029836	U+9EAC	16	フ
MJ029838	U+9EAD	16	ホウ・ヒョウ・ふなもち
MJ029839	U+9EAD	16	ホウ
MJ029844	U+9EB0	17	ボウ・おおむぎ
MJ029854	U+9EBB	11	マ・バ・メ・あさ
MJ029857	U+9EBC	14	モ
MJ029859	U+9EBD	17	マ
MJ029861	U+9EBE	15	キ・さしまねく
MJ029862	U+9EBF	18	まろ
MJ029867	U+9EC2	24	フン・ブン・ヒ・ビ
MJ029879	U+9EC8	17	トウ・ツ・き・きいろ・のべる
MJ029883	U+9ECB	18	コウ・オウ・かがやく
MJ029886	U+9ECC	24	コウ
MJ029889	U+9ECE	16	レイ・リ・くろい
MJ029897	U+9ED4	15	ケン・くろい
MJ029902	U+9ED8	15	モク・ボク・だまる
MJ029906	U+9EDB	17	タイ・ダイ・まゆずみ
MJ029908	U+9EDC	16	チュツ・しりぞける
MJ029910	U+9EDD	16	ユウ・あおぐろい
MJ029912	U+9EDE	16	テン・セン・タ
MJ029915	U+9EE0	17	カツ
MJ029920	U+9EE5	19	ゲイ
MJ029924	U+9EE8	19	トウ・ショウ・なかま
MJ029930	U+9EEF	21	アン・くらい・くろい
MJ029931	U+9EEF	20	アン・くらい
MJ029936	U+9EF3	23	エイ・アイ・ア
MJ029938	U+9EF4	21	バイ・かび・かびる
MJ029942	U+9EF7	26	トク・けがす・けがれる
MJ029945	U+9EF9	12	チ
MJ029948	U+9EFB	17	フツ
MJ029950	U+9EFC	19	フ
MJ029952	U+9EFD	13	ビン・ベン・メン・つとめる
MJ029958	U+9F02	18	チョウ・ジョウ・あさ・あした
MJ029960	U+9F03	19	ワイ・カイ
MJ029963	U+9F05	21	チ
MJ029966	U+9F07	24	ゴウ・おおがめ
MJ029967	U+9F07	24	ゴウ
MJ029969	U+9F08	25	ベツ・ヘツ・ヘチ・すっぽん
MJ029970	U+9F08	25	ベツ・すっぽん
MJ029971	U+9F08	25	ベツ・すっぽん
MJ029972	U+9F08	25	ベツ・すっぽん
MJ029978	U+9F0F	15	ベキ・ミャク
MJ029980	U+9F10	15	ダイ・ナイ・ドウ・ノウ・おおがなえ
MJ029983	U+9F12	16	シ・サイ・ザイ
MJ029987	U+9F15	18	トウ
MJ029989	U+9F16	19	フン・ブン
MJ029995	U+9F1B	21	コウ
MJ029996	U+9F1B	21	コウ
MJ030005	U+9F22	17	フン・ブン
MJ030009	U+9F25	18	ハツ・バチ・ベ
MJ030013	U+9F28	18	シュウ・シュ・トウ
MJ030015	U+9F29	18	ク・グ
MJ030019	U+9F2C	18	ユウ・ユ・いたち
MJ030022	U+9F2E	20	テイ
MJ030026	U+9F31	21	セイ・ショウ・はつかねずみ
MJ030027	U+9F31	21	セイ
MJ030029	U+9F32	22	コン・ゴン
MJ030032	U+9F34	22	エン
MJ030038	U+9F39	23	エン
MJ030040	U+9F3A	28	ルイ
MJ030041	U+9F3B	14	ビ・ヒ・はな
MJ030046	U+9F3E	17	カン・いびき
MJ030058	U+9F4A	13	セイ・そろう・ひとしい
MJ030061	U+9F4B	16	サイ・ものいみ・つつしむ
MJ030062	U+9F4B	16	サイ・ものいみ
MJ030063	U+9F4B	17	サイ・シ・とき
MJ030066	U+9F4D	19	シ・セイ・サイ・ザイ
MJ030068	U+9F4E	21	シ・セイ・もたらす
MJ030070	U+9F4F	23	セイ・なます
MJ030076	U+9F56	19	ガ・ゲ
MJ030087	U+9F60	20	チョウ・ジョウ
MJ030097	U+9F67	21	ゲツ・ケツ・かじる・かむ
MJ030098	U+9F67	21	ゲツ・ゲチ・ケツ・ケチ・かじる・かむ
MJ030114	U+9F76	24	ガク
MJ030124	U+9F8D	16	リュウ・リョウ・ロウ・たつ
MJ030125	U+9F8D	16	リュウ・たつ
MJ030126	U+9F8D	15	リュウ・たつ
MJ030127	U+9F8D	16	リュウ・たつ
MJ030136	U+9F90	19	ホウ・ボウ・ロウ・ル・リュ・リョウ・ブ
MJ030139	U+9F91	20	エン・ゲン
MJ030142	U+9F93	22	ロウ・ル・ユウ・ウ
MJ030144	U+9F94	22	キョウ・ク・つつしむ
MJ030146	U+9F95	22	ガン・カン・コン
MJ030151	U+9F98	48	トウ・ドウ
MJ030154	U+9F9C	15	キ・かめ
MJ030156	U+9F9C	16	キ・キュウ・ク・キン・コン・かめ
MJ030157	U+9F9C	17	キ
MJ030158	U+9F9C	18	キ・キュウ・ク・キン・コン・かめ
MJ030159	U+9F9D	23	シュウ・あき
MJ030161	U+9F9D	21	シュウ・あき
MJ030172	U+9FAC	16	
MJ030190	U+9686	13	リュウ・たかい
MJ030191	U+FA0E	14	ソウ
MJ030195	U+585A	13	チョウ・つか
MJ030197	U+FA11	12	キ・さき・けわしい
MJ030201	U+FA13	13	たぶ
MJ030203	U+51DE	16	キ・ひかる
MJ030204	U+51DE	16	イ・キ・よろこぶ・かわく・ひかる・おこる・ひかり・ひろい・やわらぐ
MJ030218	U+FA1F	17	ロウ
MJ030219	U+FA1F	15	ロウ・カツ
MJ030220	U+8612	24	はぎ
MJ030221	U+8612	26	シュウ・はぎ・あき
MJ030222	U+8612	27	シュウ・はぎ・あき
MJ030223	U+8612	26	はぎ
MJ030228	U+FA24	8	そり
MJ030229	U+FA24	6	そり
MJ030230	U+FA24	7	ヘン・かえす
MJ030231	U+FA24	7	ヘン・かえす・そり
MJ030232	U+FA24	7	そり
MJ030236	U+FA27	15	
MJ030261	U+61F2	19	チョウ・ジョウ・こらしめる・こらす・こりる
MJ030273	U+7422	12	タク・チョク・みがく
MJ030300	U+8CD3	14	ヒン
MJ030306	U+97FF	22	キョウ・ひびく・ひびき
MJ030313	U+20000	2	
MJ030320	U+2000B	4	ジョウ・たけ
MJ030346	U+20041	12	トウ・ズ
MJ030386	U+200A2	6	ハイ・ヘ
MJ030447	U+2010C	1	ケツ・カチ・テイ・テ
MJ030467	U+20122	7	セン
MJ030497	U+2015E	10	ジョウ
MJ030551	U+201BB	8	ヒョウ・ビョウ・ヘイ・あわせる・しかし・ならぶ
MJ030614	U+20237	9	ヒ
MJ030630	U+20255	9	シ・つかう
MJ030706	U+202EC	11	ケキ・キャク
MJ030731	U+20318	12	カ
MJ030741	U+2032B	13	ヒツ
MJ030812	U+203B9	14	アイ
MJ030887	U+20457	21	セン
MJ030926	U+20496	10	ギョウ
MJ030983	U+20509	6	ケン
MJ031009	U+20525	12	ケン
MJ031010	U+20525	12	ケン・かねる
MJ031011	U+20525	12	ケン・かねる
MJ031012	U+20525	12	ケン
MJ031029	U+20540	4	ボウ・モウ・あみ
MJ031236	U+206A3	3	トウ・かたな
MJ031265	U+206C9	6	カツ
MJ031295	U+206EE	8	ソウ
MJ031303	U+206F9	8	サン
MJ031474	U+20807	16	タク
MJ031619	U+208E5	10	チョウ・つか
MJ031728	U+20984	6	キ・クツ・クチ・くさ
MJ031959	U+20AD3	3	トツ・トチ
MJ031965	U+2062F	4	ジュウ・ニュ
MJ032064	U+20B63	11	トン
MJ032070	U+20B6F	13	サ・シャ
MJ032097	U+20B93	21	ヘン
MJ032124	U+20BB1	6	ク・ウ・キョ・コ・ああ
MJ032335	U+20D45	11	もらう
MJ032338	U+20D4A	11	セン・ゼン・よい・よきこと・よく・よくす・よしとする・よみする
MJ032369	U+20DAE	11	キ・シ・よろこぶ
MJ032377	U+20DB7	12	ヨク・イキ・オク
MJ032379	U+20DB8	12	キャク・ガク・ケキ
MJ032504	U+20EDB	14	ソウ
MJ032604	U+20FCB	16	エツ・オチ
MJ032672	U+20FD5	16	キョウ
MJ032762	U+2113B	21	イ
MJ032960	U+21274	7	コ
MJ032981	U+2128F	8	シ
MJ033027	U+212F3	10	ギン・さかい
MJ033043	U+2131B	10	ヤ・ショ・の
MJ033052	U+21328	11	ヒ
MJ033083	U+21369	12	タク・さく
MJ033089	U+2136E	12	スイ・たれる
MJ033195	U+2145E	16	スイ
MJ033197	U+2145F	16	ワ・カ
MJ033204	U+2146D	15	くれ
MJ033255	U+214E4	19	カイ
MJ033318	U+21552	3	カ・ケ
MJ033337	U+21569	11	ソウ・ス
MJ033441	U+21606	8	カ・コ・ケ・ク
MJ033578	U+21706	9	ケツ・つや
MJ033774	U+21898	16	ヨウ
MJ033818	U+218EA	18	セキ・シャク
MJ033943	U+219C8	6	ウ
MJ034080	U+21AA2	15	シン
MJ034187	U+21B4E	17	ドウ
MJ034267	U+21BED	10	オウ
MJ034293	U+21C12	15	ショウ・ジュ・はれもの
MJ034542	U+21DA1	8	さこ
MJ034585	U+21DE4	10	ゴ
MJ034589	U+21DE6	12	セツ
MJ034774	U+21F19	16	カ・ゲ
MJ034826	U+21F76	17	やまのはな
MJ034887	U+21FD6	24	ゲツ・ゲチ・けわしい
MJ034901	U+21FE7	4	サイ
MJ034904	U+21FE9	6	レツ・レチ・ギツ・ゴチ
MJ034906	U+5DDF	6	コウ
MJ034911	U+21FEE	6	リュウ
MJ034912	U+21FEE	7	トツ
MJ034954	U+22029	15	サ・たがう
MJ034957	U+22034	5	ガ
MJ034960	U+22037	8	キン
MJ035227	U+2219F	13	ヘイ
MJ035454	U+222FF	20	サイ
MJ035470	U+2231B	7	セイ・ショウ
MJ035484	U+22331	6	ヨ
MJ035485	U+22331	7	ヨ
MJ035498	U+22341	9	キ
MJ035829	U+224ED	10	シュン・しりぞく
MJ035890	U+22537	13	キョウ・ゴウ
MJ035902	U+22552	14	フク・かえる
MJ036143	U+226D4	12	ラン
MJ036335	U+22835	15	ショウ・ソウ
MJ036350	U+22843	16	ヨク・オキ
MJ036373	U+2285A	15	サン・いたむ
MJ036396	U+22894	16	マン・あなどる
MJ036477	U+22926	19	トウ
MJ036533	U+22985	27	コウ・ク・おろか
MJ036910	U+22C1D	12	もて
MJ037022	U+22D3C	15	シュウ・シュ
MJ037078	U+22DD0	17	チ
MJ037128	U+22E2D	20	ロウ・ル
MJ037220	U+22EEC	7	フ・ブ・ム
MJ037377	U+22FD8	15	スウ
MJ037379	U+22FD9	15	シュ・ショ・ス・スウ・かず
MJ037453	U+2305D	15	サイ
MJ037541	U+230D4	20	ダン・たつ
MJ037587	U+2311E	18	シ
MJ037592	U+23122	18	トウ・ドウ・ズ
MJ037624	U+2314D	7	ベン
MJ037806	U+232B8	16	コツ
MJ037877	U+2335F	7	コウ
MJ037888	U+2336E	10	サク
MJ037921	U+233B5	5	ハツ・ハチ・ハイ・ヘ
MJ037938	U+233D2	7	サ
MJ037954	U+233E0	8	コウ・ギョウ
MJ038011	U+2346D	10	サク
MJ038053	U+234C9	12	ショウ・ソウ・ジョウ・かつ
MJ038133	U+2355A	13	もて
MJ038174	U+235C4	14	たらのき
MJ038175	U+235C4	13	たらのき
MJ038208	U+23626	15	エイ
MJ038222	U+23638	16	べんと
MJ038279	U+236A3	16	コウ
MJ038319	U+2371C	17	とち
MJ038333	U+2373F	17	ゆずりは
MJ038345	U+2374B	18	トウ・ドウ
MJ038419	U+237E7	19	ひし
MJ038426	U+237F3	21	セン・ゼン・エン
MJ038533	U+238A7	13	ユ
MJ038677	U+23969	10	ショウ
MJ038876	U+23A63	16	ヨウ
MJ038889	U+23A74	18	キョウ・ゴウ
MJ038909	U+23A8D	12	デン
MJ039128	U+23C10	16	キュウ
MJ039190	U+23C75	6	エイ・ヨウ・ながい
MJ039217	U+23CA8	7	ゴ・こおる
MJ039399	U+23DF9	12	テン・そえる・そう
MJ039441	U+23E32	12	ケツ・いさぎよい
MJ039540	U+23F1B	14	マン
MJ039727	U+240A3	18	ショウ
MJ039803	U+24138	21	シン・ジン
MJ039932	U+24263	13	サイ
MJ040070	U+243C1	16	キ・ひかる
MJ040230	U+24510	11	ラン
MJ040234	U+24514	12	ラン
MJ040284	U+24564	13	ソウ
MJ040624	U+24735	9	ケン
MJ040909	U+7378	17	ジュウ・けもの
MJ041343	U+24C1E	8	ヒ・いやしむ・いやしい
MJ041344	U+24C1E	8	ヒ
MJ041393	U+24C6B	12	イ
MJ041408	U+24C83	12	ヒツ・おわる
MJ041491	U+24CFF	23	タン
MJ041756	U+24E84	17	ショウ・ジュ
MJ042064	U+25044	8	ウ・はち
MJ042171	U+250F2	9	グ
MJ042173	U+250F3	8	ク
MJ042187	U+25102	7	チョク・ジキ・チ・ジ・ただちに・なおす・なおる・あたい・あたる・ただ・なおい
MJ042188	U+25102	8	チョク・ジキ・チ・ジ・ただちに・なおす・なおる・あたい・あたる・ただ・なおい
MJ042289	U+25192	12	カツ・ゲン・ワン
MJ042409	U+2524C	15	トウ
MJ042965	U+25607	7	ヒ
MJ042971	U+25626	9	シャ
MJ042976	U+2562C	10	フツ・はらう
