MJ文字図形名	対応UCS	読み
MJ029487	U+9D2A	イツ
MJ029492	U+9D2E	オ・ウ・コ・ク
MJ029514	U+9D43	チョウ
MJ029519	U+9D47	とき
MJ029521	U+9D48	みさご・とび
MJ029535	U+9D55	シュン
MJ029547	U+9D60	コク・ゴク・カク・コウ・ゴウ・くぐい・まと
MJ029554	U+9D65	かけす・かしどり
MJ029562	U+9D6C	ホウ・フウ・フ・おおとり
MJ029568	U+9D70	チョウ・わし・くまたか
MJ029581	U+9D7C	コウ・ク・ぬえ
MJ029590	U+9D84	セイ・ショウ・ごいさぎ
MJ029605	U+9D93	ビョウ・ミョウ
MJ029637	U+9DB2	オウ・ひたき
MJ029638	U+9DB2	オウ・ひたき
MJ029644	U+9DB7	ゲチ・カツ・ガチ・つぐみ
MJ029646	U+9DB8	ひわ
MJ029648	U+9DB9	リュウ・ル
MJ029654	U+9DBF	ジ・シ
MJ029656	U+9DBF	ジ・シ
MJ029657	U+9DBF	シ・ジ
MJ029658	U+9DC0	ジ
MJ029659	U+9DC0	ジ
MJ029660	U+9DC0	ジ
MJ029664	U+9DC1	ゲキ
MJ029665	U+9DC1	ゲキ
MJ029669	U+9DC4	ケイ・にわとり
MJ029676	U+9DCA	ゲキ・ギャク
MJ029689	U+9DD6	エイ・かもめ
MJ029691	U+9DD7	オウ・オ・ク・イウ・ウ・かもめ
MJ029704	U+9DE3	イン・ヨウ
MJ029733	U+9DFE	イ
MJ029760	U+9E17	リョウ・リュ・ロウ・ル
MJ029765	U+9E1B	カン・ガン・ゲン・ケン・こうのとり
MJ029780	U+9E80	ユウ・ユ・めじか
MJ029782	U+9E81	ソ・あらい
MJ029794	U+9E8C	ゴ・おじか
MJ029796	U+9E8E	シン・ジン・シ・ジ
MJ029807	U+9E97	レイ・うるわしい
MJ029815	U+9E9E	ショウ・ソウ・くじか・のろ
MJ029816	U+9E9F	リン
MJ029818	U+9E9F	リン
MJ029829	U+9EA8	ショウ
MJ029831	U+9EA9	フ・ふすま
MJ029832	U+9EAA	ベン・メン・むぎこ
MJ029836	U+9EAC	フ
MJ029838	U+9EAD	ホウ・ヒョウ・ふなもち
MJ029839	U+9EAD	ホウ
MJ029844	U+9EB0	ボウ・おおむぎ
MJ029854	U+9EBB	マ・バ・メ・あさ
MJ029857	U+9EBC	モ
MJ029859	U+9EBD	マ
MJ029861	U+9EBE	キ・さしまねく
MJ029862	U+9EBF	まろ
MJ029867	U+9EC2	フン・ブン・ヒ・ビ
MJ029879	U+9EC8	トウ・ツ・き・きいろ・のべる
MJ029883	U+9ECB	コウ・オウ・かがやく
MJ029886	U+9ECC	コウ
MJ029889	U+9ECE	レイ・リ・くろい
MJ029897	U+9ED4	ケン・くろい
MJ029902	U+9ED8	モク・ボク・だまる
MJ029906	U+9EDB	タイ・ダイ・まゆずみ
MJ029908	U+9EDC	チュツ・しりぞける
MJ029910	U+9EDD	ユウ・あおぐろい
MJ029912	U+9EDE	テン・セン・タ
MJ029915	U+9EE0	カツ
MJ029920	U+9EE5	ゲイ
MJ029924	U+9EE8	トウ・ショウ・なかま
MJ029930	U+9EEF	アン・くらい・くろい
MJ029931	U+9EEF	アン・くらい
MJ029936	U+9EF3	エイ・アイ・ア
MJ029938	U+9EF4	バイ・かび・かびる
MJ029942	U+9EF7	トク・けがす・けがれる
MJ029945	U+9EF9	チ
MJ029948	U+9EFB	フツ
MJ029950	U+9EFC	フ
MJ029952	U+9EFD	ビン・ベン・メン・つとめる
MJ029958	U+9F02	チョウ・ジョウ・あさ・あした
MJ029960	U+9F03	ワイ・カイ
MJ029963	U+9F05	チ
MJ029966	U+9F07	ゴウ・おおがめ
MJ029967	U+9F07	ゴウ
MJ029969	U+9F08	ベツ・ヘツ・ヘチ・すっぽん
MJ029970	U+9F08	ベツ・すっぽん
MJ029971	U+9F08	ベツ・すっぽん
MJ029972	U+9F08	ベツ・すっぽん
MJ029978	U+9F0F	ベキ・ミャク
MJ029980	U+9F10	ダイ・ナイ・ドウ・ノウ・おおがなえ
MJ029983	U+9F12	シ・サイ・ザイ
MJ029987	U+9F15	トウ
MJ029989	U+9F16	フン・ブン
MJ029995	U+9F1B	コウ
MJ029996	U+9F1B	コウ
MJ030005	U+9F22	フン・ブン
MJ030009	U+9F25	ハツ・バチ・ベ
MJ030013	U+9F28	シュウ・シュ・トウ
MJ030015	U+9F29	ク・グ
MJ030019	U+9F2C	ユウ・ユ・いたち
MJ030022	U+9F2E	テイ
MJ030026	U+9F31	セイ・ショウ・はつかねずみ
MJ030027	U+9F31	セイ
MJ030029	U+9F32	コン・ゴン
MJ030032	U+9F34	エン
MJ030038	U+9F39	エン
MJ030040	U+9F3A	ルイ
MJ030041	U+9F3B	ビ・ヒ・はな
MJ030046	U+9F3E	カン・いびき
MJ030058	U+9F4A	セイ・そろう・ひとしい
MJ030061	U+9F4B	サイ・ものいみ・つつしむ
MJ030062	U+9F4B	サイ・ものいみ
MJ030063	U+9F4B	サイ・シ・とき
MJ030066	U+9F4D	シ・セイ・サイ・ザイ
MJ030068	U+9F4E	シ・セイ・もたらす
MJ030070	U+9F4F	セイ・なます
MJ030076	U+9F56	ガ・ゲ
MJ030087	U+9F60	チョウ・ジョウ
MJ030097	U+9F67	ゲツ・ケツ・かじる・かむ
MJ030098	U+9F67	ゲツ・ゲチ・ケツ・ケチ・かじる・かむ
MJ030114	U+9F76	ガク
MJ030124	U+9F8D	リュウ・リョウ・ロウ・たつ
MJ030125	U+9F8D	リュウ・たつ
MJ030126	U+9F8D	リュウ・たつ
MJ030127	U+9F8D	リュウ・たつ
MJ030136	U+9F90	ホウ・ボウ・ロウ・ル・リュ・リョウ・ブ
MJ030139	U+9F91	エン・ゲン
MJ030142	U+9F93	ロウ・ル・ユウ・ウ
MJ030144	U+9F94	キョウ・ク・つつしむ
MJ030146	U+9F95	ガン・カン・コン
MJ030151	U+9F98	トウ・ドウ
MJ030154	U+9F9C	キ・かめ
MJ030156	U+9F9C	キ・キュウ・ク・キン・コン・かめ
MJ030157	U+9F9C	キ
MJ030158	U+9F9C	キ・キュウ・ク・キン・コン・かめ
MJ030159	U+9F9D	シュウ・あき
MJ030161	U+9F9D	シュウ・あき
MJ030172	U+9FAC	
MJ030190	U+9686	リュウ・たかい
MJ030191	U+FA0E	ソウ
MJ030195	U+585A	チョウ・つか
MJ030197	U+FA11	キ・さき・けわしい
MJ030201	U+FA13	たぶ
MJ030203	U+51DE	キ・ひかる
MJ030204	U+51DE	イ・キ・よろこぶ・かわく・ひかる・おこる・ひかり・ひろい・やわらぐ
MJ030218	U+FA1F	ロウ
MJ030219	U+FA1F	ロウ・カツ
MJ030220	U+8612	はぎ
MJ030221	U+8612	シュウ・はぎ・あき
MJ030222	U+8612	シュウ・はぎ・あき
MJ030223	U+8612	はぎ
MJ030228	U+FA24	そり
MJ030229	U+FA24	そり
MJ030230	U+FA24	ヘン・かえす
MJ030231	U+FA24	ヘン・かえす・そり
MJ030232	U+FA24	そり
MJ030236	U+FA27	
MJ030261	U+61F2	チョウ・ジョウ・こらしめる・こらす・こりる
MJ030273	U+7422	タク・チョク・みがく
MJ030300	U+8CD3	ヒン
MJ030306	U+97FF	キョウ・ひびく・ひびき
MJ030313	U+20000	
MJ030320	U+2000B	ジョウ・たけ
MJ030346	U+20041	トウ・ズ
MJ030386	U+200A2	ハイ・ヘ
MJ030447	U+2010C	ケツ・カチ・テイ・テ
MJ030467	U+20122	セン
MJ030497	U+2015E	ジョウ
MJ030551	U+201BB	ヒョウ・ビョウ・ヘイ・あわせる・しかし・ならぶ
MJ030614	U+20237	ヒ
MJ030630	U+20255	シ・つかう
MJ030706	U+202EC	ケキ・キャク
MJ030731	U+20318	カ
MJ030741	U+2032B	ヒツ
MJ030812	U+203B9	アイ
MJ030887	U+20457	セン
MJ030926	U+20496	ギョウ
MJ030983	U+20509	ケン
MJ031009	U+20525	ケン
MJ031010	U+20525	ケン・かねる
MJ031011	U+20525	ケン・かねる
MJ031012	U+20525	ケン
MJ031029	U+20540	ボウ・モウ・あみ
MJ031236	U+206A3	トウ・かたな
MJ031265	U+206C9	カツ
MJ031295	U+206EE	ソウ
MJ031303	U+206F9	サン
MJ031474	U+20807	タク
MJ031619	U+208E5	チョウ・つか
MJ031728	U+20984	キ・クツ・クチ・くさ
MJ031959	U+20AD3	トツ・トチ
MJ031965	U+2062F	ジュウ・ニュ
MJ032064	U+20B63	トン
MJ032070	U+20B6F	サ・シャ
MJ032097	U+20B93	ヘン
MJ032124	U+20BB1	ク・ウ・キョ・コ・ああ
MJ032335	U+20D45	もらう
MJ032338	U+20D4A	セン・ゼン・よい・よきこと・よく・よくす・よしとする・よみする
MJ032369	U+20DAE	キ・シ・よろこぶ
MJ032377	U+20DB7	ヨク・イキ・オク
MJ032379	U+20DB8	キャク・ガク・ケキ
MJ032504	U+20EDB	ソウ
MJ032604	U+20FCB	エツ・オチ
MJ032672	U+20FD5	キョウ
MJ032762	U+2113B	イ
MJ032960	U+21274	コ
MJ032981	U+2128F	シ
MJ033027	U+212F3	ギン・さかい
MJ033043	U+2131B	ヤ・ショ・の
MJ033052	U+21328	ヒ
MJ033083	U+21369	タク・さく
MJ033089	U+2136E	スイ・たれる
MJ033195	U+2145E	スイ
MJ033197	U+2145F	ワ・カ
MJ033204	U+2146D	くれ
MJ033255	U+214E4	カイ
MJ033318	U+21552	カ・ケ
MJ033337	U+21569	ソウ・ス
MJ033441	U+21606	カ・コ・ケ・ク
MJ033578	U+21706	ケツ・つや
MJ033774	U+21898	ヨウ
MJ033818	U+218EA	セキ・シャク
MJ033943	U+219C8	ウ
MJ034080	U+21AA2	シン
MJ034187	U+21B4E	ドウ
MJ034267	U+21BED	オウ
MJ034293	U+21C12	ショウ・ジュ・はれもの
MJ034542	U+21DA1	さこ
MJ034585	U+21DE4	ゴ
MJ034589	U+21DE6	セツ
MJ034774	U+21F19	カ・ゲ
MJ034826	U+21F76	やまのはな
MJ034887	U+21FD6	ゲツ・ゲチ・けわしい
MJ034901	U+21FE7	サイ
MJ034904	U+21FE9	レツ・レチ・ギツ・ゴチ
MJ034906	U+5DDF	コウ
MJ034911	U+21FEE	リュウ
MJ034912	U+21FEE	トツ
MJ034954	U+22029	サ・たがう
MJ034957	U+22034	ガ
MJ034960	U+22037	キン
MJ035227	U+2219F	ヘイ
MJ035454	U+222FF	サイ
MJ035470	U+2231B	セイ・ショウ
MJ035484	U+22331	ヨ
MJ035485	U+22331	ヨ
MJ035498	U+22341	キ
MJ035829	U+224ED	シュン・しりぞく
MJ035890	U+22537	キョウ・ゴウ
MJ035902	U+22552	フク・かえる
MJ036143	U+226D4	ラン
MJ036335	U+22835	ショウ・ソウ
MJ036350	U+22843	ヨク・オキ
MJ036373	U+2285A	サン・いたむ
MJ036396	U+22894	マン・あなどる
MJ036477	U+22926	トウ
MJ036533	U+22985	コウ・ク・おろか
MJ036910	U+22C1D	もて
MJ037022	U+22D3C	シュウ・シュ
MJ037078	U+22DD0	チ
MJ037128	U+22E2D	ロウ・ル
MJ037220	U+22EEC	フ・ブ・ム
MJ037377	U+22FD8	スウ
MJ037379	U+22FD9	シュ・ショ・ス・スウ・かず
MJ037453	U+2305D	サイ
MJ037541	U+230D4	ダン・たつ
MJ037587	U+2311E	シ
MJ037592	U+23122	トウ・ドウ・ズ
MJ037624	U+2314D	ベン
MJ037806	U+232B8	コツ
MJ037877	U+2335F	コウ
MJ037888	U+2336E	サク
MJ037921	U+233B5	ハツ・ハチ・ハイ・ヘ
MJ037938	U+233D2	サ
MJ037954	U+233E0	コウ・ギョウ
MJ038011	U+2346D	サク
MJ038053	U+234C9	ショウ・ソウ・ジョウ・かつ
MJ038133	U+2355A	もて
MJ038174	U+235C4	たらのき
MJ038175	U+235C4	たらのき
MJ038208	U+23626	エイ
MJ038222	U+23638	べんと
MJ038279	U+236A3	コウ
MJ038319	U+2371C	とち
MJ038333	U+2373F	ゆずりは
MJ038345	U+2374B	トウ・ドウ
MJ038419	U+237E7	ひし
MJ038426	U+237F3	セン・ゼン・エン
MJ038533	U+238A7	ユ
MJ038677	U+23969	ショウ
MJ038876	U+23A63	ヨウ
MJ038889	U+23A74	キョウ・ゴウ
MJ038909	U+23A8D	デン
MJ039128	U+23C10	キュウ
MJ039190	U+23C75	エイ・ヨウ・ながい
MJ039217	U+23CA8	ゴ・こおる
MJ039399	U+23DF9	テン・そえる・そう
MJ039441	U+23E32	ケツ・いさぎよい
MJ039540	U+23F1B	マン
MJ039727	U+240A3	ショウ
MJ039803	U+24138	シン・ジン
MJ039932	U+24263	サイ
MJ040070	U+243C1	キ・ひかる
MJ040230	U+24510	ラン
MJ040234	U+24514	ラン
MJ040284	U+24564	ソウ
MJ040624	U+24735	ケン
MJ040909	U+7378	ジュウ・けもの
MJ041343	U+24C1E	ヒ・いやしむ・いやしい
MJ041344	U+24C1E	ヒ
MJ041393	U+24C6B	イ
MJ041408	U+24C83	ヒツ・おわる
MJ041491	U+24CFF	タン
MJ041756	U+24E84	ショウ・ジュ
MJ042064	U+25044	ウ・はち
MJ042171	U+250F2	グ
MJ042173	U+250F3	ク
MJ042187	U+25102	チョク・ジキ・チ・ジ・ただちに・なおす・なおる・あたい・あたる・ただ・なおい
MJ042188	U+25102	チョク・ジキ・チ・ジ・ただちに・なおす・なおる・あたい・あたる・ただ・なおい
MJ042289	U+25192	カツ・ゲン・ワン
MJ042409	U+2524C	トウ
MJ042965	U+25607	ヒ
MJ042971	U+25626	シャ
MJ042976	U+2562C	フツ・はらう
MJ042981	U+25630	シ
MJ043008	U+2566E	セン
MJ043009	U+2566E	セン
MJ043036	U+256C6	シン
MJ043037	U+256C6	シン
MJ043048	U+256D9	ショウ
MJ043052	U+256DC	ショ・ソ
MJ043064	U+256F2	ショウ
MJ043076	U+25705	ロク
MJ043079	U+25712	エン・はらう
MJ043093	U+25726	デイ
MJ043174	U+257A9	カ・ワ
MJ043183	U+257B4	コク
MJ043244	U+25835	フ・ホ
MJ043546	U+25A2B	ソウ
MJ043614	U+25AA7	テン
MJ043639	U+25AD4	コウ・ク・カン・コン
MJ043650	U+25AE1	ウ
MJ043731	U+25B5F	サ
MJ043780	U+25BAB	サク
MJ043832	U+25BFF	コウ
MJ043900	U+25C80	ショウ・ソウ
MJ044247	U+25E9B	ハイ
MJ044397	U+25F86	キュウ
MJ044582	U+260C8	シュウ
MJ044739	U+261D7	セン・シュ
MJ044743	U+261DA	イ
MJ044772	U+26222	フ・ほとぎ
MJ044779	U+26228	ケイ
MJ044802	U+26247	ヘイ
MJ044830	U+26273	ボウ・モウ・あみ
MJ044844	U+2628B	ボウ・モ
MJ044888	U+262D9	アン
MJ045040	U+263B1	カツ・ケチ
MJ045051	U+263C1	ギ
MJ045052	U+263C1	ギ・キ・いき
MJ045110	U+26407	トウ
MJ045112	U+26408	オウ・フン・ブン・おきな
MJ045177	U+26462	トウ
MJ045304	U+26518	ドウ
MJ045381	U+265A2	ジ・ニ・きく
MJ045550	U+266A8	セイ・ゼイ
MJ045557	U+266AF	イン・たね・つぐ
MJ045673	U+2676B	ヨウ・こし
MJ045851	U+268AA	スイ
MJ045852	U+6727	ロウ・ル・おぼろ
MJ045854	U+268AB	ロウ・ル
MJ045863	U+268BC	エイ・ヨウ・あまる・もうけ
MJ045921	U+81EE	ギ・キ
MJ045933	U+2691D	ベン・メン
MJ045973	U+2695B	ソウ
MJ045996	U+26977	キョウ
MJ046074	U+269E0	キ・ギ
MJ046225	U+26AAD	トウ・ドウ
MJ046308	U+26B1E	テン・フ・はす
MJ046313	U+26B20	キョ
MJ046314	U+26B20	ボウ
MJ046523	U+26C64	ソウ
MJ046536	U+26C73	シ
MJ046538	U+26C73	シ
MJ046586	U+26CDD	チョウ・ヨウ・トウ
MJ046773	U+26E11	ベツ
MJ046815	U+26E40	くごい
MJ046819	U+26E47	サ
MJ046951	U+26F2C	ショ
MJ046955	U+26F2F	スイ
MJ046956	U+26F2F	スイ
MJ047028	U+26F8F	コウ
MJ047031	U+26F94	キュウ
MJ047042	U+26FB1	ソウ
MJ047080	U+26FD4	ヘイ
MJ047097	U+26FF8	タン
MJ047142	U+27039	シャ
MJ047258	U+270F4	つづら
MJ047265	U+2710D	ギョウ・キョウ
MJ047296	U+27139	ショク・シキ
MJ047434	U+271FD	キョ
MJ047464	U+2722A	シ・チ
MJ047542	U+2729C	ガク・ハク
MJ047565	U+272B7	モウ・ボウ・ム
MJ047614	U+2730A	シャ・セ・たいらぎ
MJ047684	U+27369	ケツ
MJ047758	U+273CA	カン・ゴン
MJ047791	U+273FE	ジョク
MJ047987	U+27525	イ
MJ048161	U+27602	ショウ・つく
MJ048182	U+27619	ハン
MJ048246	U+27667	ケン・カン
MJ048322	U+276D4	トク・ソク
MJ048359	U+27701	サイ
MJ048363	U+27705	カイ
MJ048373	U+2770F	ハイ・バイ・ヒ・ビ
MJ048418	U+27753	タン
MJ048434	U+27771	ケン
MJ048475	U+277AA	ロウ・リョウ
MJ048487	U+277B8	イ・ユイ・スイ・ズイ
MJ048522	U+277E8	ケン・ゲン
MJ048810	U+27966	ワ
MJ049029	U+27A7B	シュ・はかる
MJ049105	U+27AE2	ボウ・モウ・のぞむ
MJ049169	U+27B2F	ケン・どもる
MJ049240	U+27B87	バイ
MJ049295	U+27BC6	カツ・ひらける
MJ049301	U+27BCC	キョウ
MJ049345	U+27BFE	ツ・トウ
MJ049486	U+27CA8	ケン
MJ049589	U+27D2A	サ
MJ049614	U+27D4D	ボウ・ム・あきなう・かえる
MJ049743	U+27E19	スイ
MJ049759	U+27E3D	イ
MJ049792	U+27E79	シ・さかん
MJ049993	U+27FA8	ケン・コン・ゲン・ガン
MJ050013	U+27FC0	キュウ
MJ050235	U+28119	ショク・ソク
MJ050632	U+2838A	コン
MJ050749	U+28432	ジ・シ・ことわる・やめる
MJ050769	U+2844D	キ・わだち
MJ050774	U+28452	ト・かち
MJ050779	U+28455	はさ
MJ050800	U+2846D	シ・うつる・うつす
MJ050818	U+28489	スイ・ツイ
MJ050823	U+2848C	セイ・ショウ・ゆく
MJ050848	U+284AD	カイ
MJ050852	U+284B0	ユウ・ユ
MJ050869	U+284C5	ボウ
MJ050888	U+284E4	タイ
MJ050890	U+284E4	タイ・テ・トン・しりぞける・しりぞく
MJ050903	U+284F1	トウ
MJ050907	U+284F5	ソウ
MJ050934	U+2851D	トウ
MJ050937	U+2851F	ユウ
MJ050945	U+28527	ホウ
MJ050949	U+2852B	タイ
MJ050958	U+28530	セン・うつす
MJ050976	U+28560	サク
MJ050980	U+28563	ガク・ゴ
MJ050983	U+28565	ドウ・みち
MJ050990	U+2856B	しめ
MJ050992	U+2856B	
MJ051008	U+28588	ヨウ
MJ051011	U+2858A	サク・セキ
MJ051045	U+285B9	ジツ・ニチ・ジ・ニ・チツ・チチ
MJ051046	U+285BB	リュウ・ル・とどまる
MJ051052	U+285BF	イ
MJ051060	U+285C9	スイ・おくぶかい
MJ051089	U+285ED	イ
MJ051093	U+285F1	トウ・ドウ
MJ051124	U+28622	ヘン
MJ051137	U+28637	バク・はるか
MJ051146	U+28642	ユウ・ユ
MJ051161	U+28655	カン・のがれる
MJ051165	U+28659	セン
MJ051168	U+2865A	バイ
MJ051169	U+2865A	バイ
MJ051173	U+2865F	シン
MJ051174	U+2865F	シン・ジン・すすむ・すすめる
MJ051499	U+2880B	コ・ク・さかずき
MJ051828	U+28A71	ゲン
MJ051960	U+28BEF	やり
MJ052103	U+28CDD	ジュン・テイ・チョウ・うるう
MJ052219	U+28D84	リン・レン
MJ052469	U+28F41	ソウ・ス・シュウ・シュ・スウ・すみ
MJ052597	U+28FE4	ヤ・エ・ぬえ
MJ052867	U+2915E	チュウ
MJ052889	U+2917E	タン
MJ052944	U+291D5	セイ・ジョウ
MJ052997	U+2921A	ヘイ
MJ053054	U+2925E	ウ・ク
MJ053255	U+29356	ヨク・オク・イキ
MJ053281	U+29379	ケン
MJ053403	U+2941A	フツ・ホチ
MJ053408	U+2941F	ハク・ホク
MJ053410	U+29420	コウ・ク
MJ053413	U+29422	キョウ・コウ・ひびき
MJ053419	U+29427	アン・オン・エン・イン
MJ053438	U+2943F	キョウ・コウ・ひびき・ひびく
MJ053630	U+29548	ハン
MJ053710	U+295B6	ケツ
MJ053841	U+2965E	ヒョウ・つむじ・ひるがえる・つむじかぜ
MJ053854	U+2967A	ヨク
MJ053862	U+29682	イ
MJ053866	U+29685	シ
MJ053868	U+29688	ヤク
MJ053879	U+29695	イン・のむ
MJ053881	U+29696	ジュ・ニュ・まぜめし
MJ053894	U+296A9	コ・かゆ
MJ053911	U+296B9	レイ・リョウ・こなもち
MJ053920	U+296C6	イ
MJ053938	U+296DE	ホウ・あく
MJ053946	U+296E5	サイ
MJ053963	U+296FA	キク・コク・かゆ
MJ053977	U+29706	キ・うえる
MJ053981	U+29708	ヨ
MJ053984	U+2970B	ショウ・かれいい
MJ053989	U+2970F	ヨ・オ・あきる
MJ053990	U+2970F	ヨ・オ・あきる
MJ053997	U+29715	ホウ
MJ053999	U+29717	ビ
MJ054002	U+29719	ジョウ・にょう・ゆたか
MJ054009	U+2972F	シュウ
MJ054015	U+29734	シ
MJ054016	U+29734	シ・ジ・むしもち
MJ054022	U+29739	セン・サン・ハン・そなえる
MJ054040	U+29759	シ・たしなむ
MJ054044	U+2975D	コウ・こなもち・むしもち
MJ054062	U+2973F	ホウ・あく
MJ054074	U+29780	サン・こながき
MJ054078	U+29783	ショウ・ひるめし
MJ054090	U+2978D	ソク
MJ054092	U+2978F	サン
MJ054095	U+29791	フン・むす・むしめし
MJ054099	U+297A1	シ・キ
MJ054104	U+297A5	ショウ・ジョウ・おくる
MJ054107	U+297A7	ショウ・ひるめし
MJ054112	U+297AB	イ・あめ
MJ054114	U+297AB	イ
MJ054117	U+297AD	ヨウ
MJ054118	U+297AD	ヨウ
MJ054124	U+297B7	リュウ・むす・むれる
MJ054136	U+297C4	シ
MJ054144	U+297CB	セン・たす
MJ054173	U+297F1	キ・タイ・おくる
MJ054182	U+297FD	コウ・キョウ・か・かおり・かおる
MJ054275	U+29894	ハン
MJ054285	U+2989D	ヘン
MJ054370	U+29918	ドウ・ノウ
MJ054564	U+29A59	ヒ
MJ054637	U+29AB7	スイ
MJ054793	U+29BBA	バン・メン・マン・かずら
MJ054846	U+29C13	グ・ゴウ・コウ・とき
MJ054934	U+29C7F	ビ・ミ
MJ055065	U+29D34	ダ
MJ055079	U+29D49	キ
MJ055216	U+29E3D	ほっけ
MJ055218	U+29E3D	ほっけ
MJ055248	U+29E77	イ
MJ055251	U+29E7A	カク・キャク・レキ
MJ055264	U+29E8A	あら
MJ055266	U+29E8A	あら
MJ055300	U+29EDB	シン・ジン
MJ055307	U+29EE0	バン・マン・うなぎ
MJ055309	U+29EE1	トウ・ズ・チョウ・ジュ・チュウ
MJ055514	U+2A02F	うそ
MJ055524	U+2A04B	セイ・ジョウ
MJ055547	U+2A061	うずら
MJ055625	U+2A0C8	ケツ・ケチ・カツ
MJ055659	U+2A0F9	セキ・シャク・ショク・シキ
MJ055825	U+2A1F4	ベツ
MJ055927	U+2A291	ケン
MJ055934	U+2A296	コ
MJ055945	U+2A2A8	キ
MJ056013	U+2A301	ボウ・モウ・コウ・のぎ・さき・すすき
MJ056071	U+2A347	ショウ
MJ056130	U+2A392	シャク
MJ056156	U+2A3B0	フン・ヒ
MJ056317	U+2A472	エツ・オチ
MJ056429	U+2A502	テイ・かなえ
MJ056430	U+2A502	テイ・かなえ
MJ056433	U+2A504	シ
MJ056437	U+2A508	ウン
MJ056440	U+2A50D	ホウ・ブ
MJ056493	U+2A54D	ケイ・キョウ
MJ056511	U+2A564	エン
MJ056521	U+2A56F	ケキ・ギャク・ケツ・ゲチ
MJ056540	U+2A585	フン・ブン
MJ056586	U+2A5C7	セイ・ザイ
MJ056636	U+2A600	ヘイ
MJ056763	U+2A695	ガン・カン・コン
MJ056765	U+2A696	ロウ・ル・リョウ・リュ・こもる・かご
MJ056769	U+2A699	レイ・リョウ
MJ056822	U+4E94	ゴ・いつ・いつつ
MJ056823	U+221B0	テイ・タイ・シ・チ
MJ056824	U+4E11	チュウ・うし
MJ056826	U+4E39	タン・あか・に
MJ056831	U+4E14	シャ・ショ・ソ・かつ・しばらく
MJ056835	U+2B742	ショ・ソ・ところ
MJ056836	U+2B742	ショ・ソ・ところ
MJ056837	U+4E9E	ア・アク・エ・つぐ
MJ056838	U+2CED0	ショ・ソ・ところ
MJ056839	U+76F4	チョク・ジキ・ただちに・なおす
MJ056840	U+76F4	チョク・ジキ・ただちに・なおす
MJ056841	U+76F4	チョク・ジキ・ただちに・なおす
MJ056844	U+2CEDC	ム・ブ・ない
MJ056845	U+76F4	チョク・ジキ・ただちに・なおす
MJ056847	U+20041	トウ・ズ
MJ056848	U+20000	
MJ056858	U+4E47	タク・チャク
MJ056859	U+53D0	ヨウ・ヨク・オク・ハツ・わかい
MJ056861	U+53D0	ヨウ・ヨク・ハツ・わかい
MJ056862	U+2CF4C	ジョウ・のる・のせる
MJ056866	U+6C14	コツ・キツ・キ・こう
MJ056873	U+4E88	ヨ・チョ
MJ056877	U+7539	ヘイ・ヒョウ
MJ056886	U+4EA2	コウ
MJ056890	U+4EA8	コウ・とおる
MJ056894	U+2CF4C	ジョウ・ショウ・のる
MJ056895	U+4EAB	キョウ・コウ・うける
MJ056898	U+2CF4C	ジョウ・ショウ・のる
MJ056903	U+4EE2	シャク
MJ056905	U+4EE4	レイ・リョウ・おさ
MJ056911	U+4ED7	チョウ・ほこ・よる
MJ056914	U+4F69	ハイ・おびる
MJ056917	U+4FA1	さいぶつ
MJ056918	U+4F89	
MJ056919	U+4F96	ロン・リン
MJ056920	U+201FE	キュウ・やすむ
MJ056921	U+96B9	スイ・シ・とり
MJ056923	U+2A746	か
MJ056926	U+4F96	ロン・リン
MJ056931	U+501D	カン
MJ056932	U+4FDE	ユ・チュウ
MJ056933	U+689D	ジョウ・チョウ・すじ
MJ056936	U+50C9	セン・みな
MJ056942	U+505C	テイ・チョウ・とどまる
MJ056944	U+2DD48	ケン・かねる
MJ056945	U+5065	ケン・ゲン・ゴン・すこやか・たけし
MJ056948	U+50C9	セン・みな
MJ056949	U+5108	カイ
MJ056951	U+50E8	フン・ホン・たおれる
MJ056953	U+50F6	ビン・ミン
MJ056954	U+203F9	ほとけ
MJ056958	U+513C	ゲン
MJ056960	U+513C	ゲン
MJ056966	U+5142	シン
MJ056967	U+5147	キョウ・ク
MJ056970	U+2D020	メン・まぬかれる
MJ056979	U+4EA2	コウ
MJ056983	U+5178	テン・つかさどる・のり・ふみ・さかん
MJ056985	U+517C	ケン・かねる
MJ056986	U+2D1A2	ケン・かねる
MJ056989	U+517C	ケン・かねる
MJ056990	U+771E	シン・まこと
MJ056991	U+771F	シン・まこと
MJ056992	U+20525	ケン・かねる
MJ056993	U+2DD44	ケン・かねる
MJ056997	U+20525	ケン・かねる
MJ056998	U+2004A	ソウ・ショウ・あきらか・たがう
MJ056999	U+5180	キ・こいねがう
MJ057000	U+5185	ナイ・ダイ・うち
MJ057002	U+2054B	サツ・サク・ふみ
MJ057003	U+2054B	サツ・サク・ふみ
MJ057004	U+518D	サイ・サ・ふたたび
MJ057006	U+518E	カ・ケ
MJ057007	U+518E	カ・ケ
MJ057010	U+518D	サイ・サ・ふたたび
MJ057015	U+2D06B	コウ
MJ057016	U+5193	コウ
MJ057017	U+2D06F	コウ
MJ057018	U+2D06F	コウ
MJ057021	U+34BC	バン・マン
MJ057022	U+5198	イン
MJ057024	U+519D	ギ・よろしい
MJ057026	U+2D077	メイ・ベイ・くらい
MJ057027	U+51A5	メイ・ベイ・くらい
MJ057029	U+2D077	メイ・ベイ・くらい
